-0.55173,-1.0166,0
0.10328,0.36163,1
-0.061212,-0.55662,0
0.078936,1.2305,1
-0.57901,-0.25283,0
0.48498,1.1639,1
-0.57021,-0.68,0
0.57825,1.736,1
-0.13717,-0.52738,0
0.58231,0.97848,1
0.0083705,-1.2058,0
0.10534,0.78266,1
-0.33347,-0.31397,0
0.34522,1.137,1
0.24171,0.10833,0
0.58913,1.214,1
-0.18406,-0.46141,0
0.52103,1.5351,1
-0.24286,-1.1094,0
0.27446,1.3845,1
-0.24253,0.1029,0
0.23497,-0.094379,1
0.26011,-0.26588,0
0.085364,1.7423,1
-0.0024833,-0.68382,0
-0.37632,-0.93669,0
-0.19597,-0.75948,0
-0.32914,-0.61605,0
-0.068206,-1.3189,0
-0.39041,-1.3918,0
-0.35325,0.59048,0
-0.18067,-0.66191,0
-0.086429,-0.66212,0
-0.24021,-0.68457,0
-0.094619,-0.7519,0
-0.37559,-1.3664,0
-0.83694,-0.92961,0
0.0062113,-0.77133,0
0.40196,1.1312,1
-0.36409,-0.3042,0
0.082766,-0.49848,0
0.1775,1.2344,1
0.16421,1.0326,1
-0.14926,-0.34742,0
-0.10726,-0.48562,0
0.14273,-1.3776,0
0.041713,-1.2524,0
0.4677,0.22828,1
0.20367,-0.19297,0
-0.077597,1.1084,1
0.21743,1.2038,1
0.037901,-0.94272,0
-0.2037,-0.53703,0
0.69383,1.4887,1
-0.43565,0.61421,1
0.4821,0.9343,0
-0.08739,-0.25627,0
0.0059814,0.47714,0
-0.070981,-0.64045,0
0.54303,1.2775,1
-0.4157,-0.45556,0
0.18194,0.51143,1
